Date,2*(sq(vx1) - sq(vx2))
2015-06-01,72.84000000000003
2015-06-02,71.06999999999994
2015-06-03,78.13000000000005
2015-06-04,68.31
2015-06-05,76.75
2015-06-08,66.14999999999992
2015-06-09,75.64375000000007
2015-06-10,90.83000000000004
2015-06-11,91.68
2015-06-12,69.50125000000003
2015-06-15,34.64999999999998
2015-06-16,44.33375000000001
2015-06-17,57.86345
2015-06-18,58.71000000000009
2015-06-19,57.149999999999864
2015-06-22,63.20999999999992
2015-06-23,70.44000000000005
2015-06-24,63.420000000000016
2015-06-25,60.5
2015-06-26,56.99999999999994
2015-06-29,3.480000000000018
2015-06-30,3.4700000000000273
2015-07-01,16.049999999999955
2015-07-02,6.789999999999964
2015-07-06,10.379999999999882
2015-07-07,23.100000000000136
2015-07-08,-18.300000000000068
2015-07-09,-11.249999999999886
2015-07-10,27.160000000000196
2015-07-13,66.10999999999996
2015-07-14,88.94999999999999
2015-07-15,80.64375000000001
2015-07-16,84.93999999999994
2015-07-17,82.05000000000001
2015-07-20,90.94999999999993
2015-07-21,98.41999999999996
2015-07-22,73.15645
2015-07-23,68.31
2015-07-24,55.25999999999999
2015-07-27,35.30999999999989
2015-07-28,65.66999999999996
2015-07-29,76.57000000000005
2015-07-30,81.89999999999992
2015-07-31,79.10999999999996
2015-08-03,72.5
2015-08-04,64.57
2015-08-05,72.75
2015-08-06,56.81000000000006
2015-08-07,56.049999999999955
2015-08-10,73.97000000000003
2015-08-11,59.89999999999998
2015-08-12,56.240000000000066
2015-08-13,52.64999999999992
2015-08-14,49.97999999999996
2015-08-17,69.24000000000007
2015-08-18,53.00999999999999
2015-08-19,57.65445
2015-08-20,0.0
2015-08-21,-98.23874999999987
2015-08-24,-250.03125
2015-08-25,-265.7062499999997
2015-08-26,-203.39999999999986
2015-08-27,-240.0562500000001
2015-08-28,-236.1300000000001
2015-08-31,-299.0999999999999
2015-09-01,-433.2900000000002
2015-09-02,-209.37000000000012
2015-09-03,-173.25
2015-09-04,-242.0999999999999
2015-09-08,-101.22000000000003
2015-09-09,-160.15999999999985
2015-09-10,-127.39874999999984
2015-09-11,-81.76874999999995
2015-09-14,-79.22000000000003
2015-09-15,-184.89999999999986
2015-09-16,-281.6275499999997
2015-09-17,-28.350000000000136
2015-09-18,-46.74999999999977
2015-09-21,11.849999999999909
2015-09-22,-55.76999999999987
2015-09-23,-37.61999999999989
2015-09-24,-60.26999999999998
2015-09-25,-57.19999999999993
2015-09-28,-126.35999999999967
2015-09-29,-111.72000000000003
2015-09-30,-81.26999999999998
2015-10-01,-69.84000000000003
2015-10-02,-49.8599999999999
2015-10-05,-31.479999999999905
2015-10-06,-32.19999999999993
2015-10-07,-23.190000000000055
2015-10-08,7.389999999999873
